,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Thr_comb,ARS_Load_chi,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Load_comb
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.040,0.070,0.040,0.010,0.060,0.050,0.000,0.010
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.030,0.000,0.000,0.000
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.020,0.000,0.000,0.000,0.050,0.000,0.000,0.000
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.030,0.000,0.000,0.000
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.020,0.010,0.010,0.040,0.040,0.000,0.020
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.070,0.000,0.000,0.000,0.060,0.000,0.000,0.000
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.020,0.000,0.000,0.000
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.040,0.000,0.000,0.000
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.090,0.101,0.025,0.010,0.020,0.022,0.000,0.020
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.000,0.082,0.012,0.000,0.040,0.044,0.000,0.010
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.120,0.024,0.000,0.010,0.020,0.000,0.000,0.000
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.010,0.000,0.000,0.000
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,0.000,0.000,0.070,0.060,0.020,0.010,0.110,0.010,0.000,0.040
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.370,0.000,0.000,0.080
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,0.000,0.000,0.110,0.010,0.000,0.010,0.320,0.000,0.000,0.000
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.000,0.000,0.000
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,0.000,0.000,0.110,0.070,0.020,0.030,0.140,0.000,0.000,0.070
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.010,0.010,0.000,0.000,0.220,0.000,0.000,0.030
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,0.000,0.000,0.180,0.010,0.000,0.000,0.210,0.000,0.000,0.000
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.730,0.000,0.000,0.010
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.060,0.099,0.012,0.010,0.060,0.035,0.000,0.050
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.010,0.049,0.000,0.000,0.010,0.066,0.000,0.000
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.070,0.062,0.000,0.020,0.030,0.000,0.000,0.020
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000
