,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,108.211 (15.188),104.000,0.013 (0.012),0.994 (0.008),143.022 (16.36),138.000,0.012 (0.011),0.993 (0.009),132.462 (17.036),128.000,0.012 (0.012),0.993 (0.009)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,514.742 (26.802),500.000,0.010 (0.008),0.995 (0.005),562.944 (27.874),548.000,0.010 (0.007),0.995 (0.005),584.169 (28.275),570.000,0.010 (0.007),0.995 (0.005)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,104.190 (14.358),104.000,0.005 (0.006),0.999 (0.002),127.839 (16.015),128.000,0.005 (0.005),0.999 (0.002),136.975 (17.339),138.000,0.004 (0.005),0.999 (0.002)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,507.021 (30.917),500.000,0.004 (0.004),0.999 (0.001),555.128 (31.943),548.000,0.004 (0.004),0.999 (0.001),577.496 (31.192),570.000,0.004 (0.004),0.999 (0.001)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,109.439 (13.432),104.000,0.013 (0.012),0.994 (0.008),133.953 (15.101),128.000,0.013 (0.012),0.993 (0.008),143.897 (15.465),138.000,0.012 (0.011),0.993 (0.009)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,512.112 (29.067),500.000,0.009 (0.008),0.996 (0.006),560.468 (30.57),548.000,0.008 (0.008),0.995 (0.006),582.66 (31.682),570.000,0.008 (0.008),0.995 (0.006)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,103.925 (14.500),104.000,0.005 (0.006),0.999 (0.002),127.974 (15.977),128.000,0.005 (0.005),0.999 (0.002),137.736 (15.716),138.000,0.004 (0.005),0.999 (0.002)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,504.928 (27.244),500.000,0.004 (0.004),0.999 (0.001),552.841 (29.073),548.000,0.004 (0.004),0.999 (0.001),574.72 (28.788),570.000,0.003 (0.004),0.999 (0.001)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,98.963 (13.048),104.000,0.006 (0.009),0.998 (0.005),120.52 (12.028),128.000,0.004 (0.007),0.999 (0.003),135.183 (15.134),138.000,0.007 (0.010),0.997 (0.006)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,498.037 (23.161),500.000,0.005 (0.007),0.998 (0.003),572.754 (28.399),570.000,0.006 (0.007),0.997 (0.004),551.751 (24.291),548.000,0.006 (0.007),0.997 (0.004)
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,95.802 (10.154),104.000,0.002 (0.003),1.000 (0.001),117.893 (11.867),128.000,0.001 (0.003),1.000 (0.001),130.428 (13.636),138.000,0.002 (0.004),1.000 (0.001)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,484.123 (28.742),500.000,0.002 (0.003),1.000 (0.001),556.107 (33.246),570.000,0.002 (0.003),1.000 (0.001),537.648 (32.268),548.000,0.002 (0.003),1.000 (0.001)
