,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,113.548 (14.214),104.000,0.017 (0.013),0.995 (0.006),150.06 (15.945),138.000,0.016 (0.012),0.993 (0.007),136.91 (14.988),128.000,0.014 (0.012),0.995 (0.006)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,539.773 (27.553),500.000,0.017 (0.007),0.994 (0.004),610.494 (31.651),570.000,0.016 (0.007),0.994 (0.004),577.001 (29.323),548.000,0.013 (0.008),0.995 (0.004)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,134.755 (18.473),104.000,0.016 (0.006),0.996 (0.002),178.048 (23.033),138.000,0.016 (0.006),0.995 (0.003),158.144 (20.914),128.000,0.014 (0.006),0.996 (0.002)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,620.670 (39.886),500.000,0.015 (0.003),0.995 (0.001),696.178 (43.731),570.000,0.015 (0.003),0.995 (0.002),623.917 (39.094),548.000,0.011 (0.003),0.997 (0.001)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,111.830 (15.690),104.000,0.016 (0.013),0.995 (0.006),147.679 (18.626),138.000,0.015 (0.012),0.994 (0.007),135.167 (17.584),128.000,0.014 (0.013),0.995 (0.006)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,531.620 (28.689),500.000,0.014 (0.008),0.995 (0.004),601.681 (29.378),570.000,0.013 (0.007),0.995 (0.004),570.562 (28.773),548.000,0.011 (0.008),0.996 (0.004)
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,128.488 (20.408),104.000,0.014 (0.007),0.997 (0.002),168.295 (22.642),138.000,0.014 (0.006),0.997 (0.003),152.729 (20.251),128.000,0.013 (0.006),0.997 (0.002)
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,586.110 (36.303),500.000,0.013 (0.003),0.997 (0.001),656.171 (40.119),570.000,0.012 (0.003),0.997 (0.002),604.795 (34.926),548.000,0.010 (0.004),0.998 (0.001)
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,95.683 (11.483),104.000,0.003 (0.008),0.999 (0.001),130.802 (15.377),138.000,0.005 (0.009),0.999 (0.002),117.339 (13.873),128.000,0.003 (0.007),0.999 (0.001)
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,490.255 (24.994),500.000,0.004 (0.006),0.999 (0.001),562.247 (23.576),570.000,0.003 (0.005),0.999 (0.001),540.97 (24.576),548.000,0.004 (0.006),0.999 (0.001)
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,97.059 (11.223),104.000,0.002 (0.004),1.000 (0.000),133.966 (15.995),138.000,0.004 (0.005),1.000 (0.001),120.266 (15.349),128.000,0.002 (0.004),1.000 (0.001)
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,486.858 (22.334),500.000,0.001 (0.003),1.000 (0.000),562.72 (30.208),570.000,0.002 (0.003),1.000 (0.000),539.769 (24.676),548.000,0.002 (0.003),1.000 (0.000)
