,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,131.432 (16.037),108.000,0.027 (0.012),0.990 (0.007),157.599 (16.891),132.000,0.026 (0.010),0.989 (0.007),167.398 (18.264),143.000,0.024 (0.011),0.989 (0.007)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,587.049 (41.550),504.000,0.025 (0.007),0.988 (0.006),636.582 (42.144),552.000,0.024 (0.006),0.988 (0.006),656 (42.59),575.000,0.023 (0.007),0.988 (0.006)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,202.743 (31.182),108.000,0.029 (0.005),0.990 (0.004),234.312 (34.352),132.000,0.027 (0.005),0.989 (0.004),237.674 (32.793),143.000,0.025 (0.005),0.990 (0.004)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,861.338 (73.964),504.000,0.026 (0.003),0.987 (0.003),920.807 (75.955),552.000,0.026 (0.003),0.986 (0.003),924.959 (74.991),575.000,0.025 (0.003),0.987 (0.003)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,129.877 (15.777),108.000,0.026 (0.011),0.991 (0.006),155.201 (17.361),132.000,0.024 (0.011),0.990 (0.007),166.059 (18.487),143.000,0.023 (0.011),0.990 (0.007)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,581.003 (35.630),504.000,0.024 (0.006),0.989 (0.006),631.018 (36.547),552.000,0.023 (0.006),0.988 (0.006),651.211 (37.014),575.000,0.022 (0.006),0.989 (0.006)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,186.201 (26.686),108.000,0.027 (0.005),0.992 (0.003),216.454 (29.259),132.000,0.025 (0.005),0.991 (0.003),221.63 (30.519),143.000,0.023 (0.005),0.992 (0.003)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,852.501 (68.708),504.000,0.026 (0.003),0.987 (0.003),911.613 (70.909),552.000,0.025 (0.003),0.987 (0.003),915.652 (71.855),575.000,0.024 (0.003),0.987 (0.003)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,109.740 (12.710),108.000,0.010 (0.011),0.998 (0.003),133.642 (14.288),132.000,0.010 (0.011),0.998 (0.003),143.32 (15.318),143.000,0.009 (0.010),0.998 (0.004)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,516.797 (22.587),504.000,0.009 (0.007),0.998 (0.002),565.258 (23.381),552.000,0.009 (0.007),0.998 (0.002),587.652 (25.025),575.000,0.008 (0.008),0.998 (0.003)
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,109.991 (14.792),108.000,0.005 (0.006),0.999 (0.001),134.181 (16.069),132.000,0.005 (0.006),0.999 (0.001),143.993 (18.345),143.000,0.005 (0.006),0.999 (0.001)
