,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,512.811 (28.051),504.000,0.004 (0.004),0.999 (0.001),560.798 (29.663),552.000,0.004 (0.004),0.999 (0.001),579.42 (30.379),575.000,0.004 (0.004),0.999 (0.001)
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,539.730 (80.122),108.000,0.126 (0.012),0.895 (0.021),597.411 (87.242),132.000,0.118 (0.011),0.886 (0.023),585.375 (85.369),143.000,0.111 (0.011),0.892 (0.022)
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1863.922 (243.847),504.000,0.104 (0.009),0.875 (0.026),1952.925 (252.356),552.000,0.101 (0.009),0.871 (0.027),1939.56 (249.674),575.000,0.097 (0.009),0.875 (0.027)
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1926.991 (170.422),108.000,0.130 (0.006),0.885 (0.013),2110.442 (186.751),132.000,0.122 (0.006),0.875 (0.014),2032.249 (184.353),143.000,0.115 (0.006),0.881 (0.014)
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,6523.619 (564.550),504.000,0.109 (0.005),0.861 (0.016),6806.031 (589.16),552.000,0.106 (0.005),0.855 (0.016),6729.612 (588.401),575.000,0.103 (0.005),0.858 (0.016)
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,538.124 (106.963),108.000,0.126 (0.015),0.898 (0.027),594.508 (115.796),132.000,0.118 (0.015),0.890 (0.029),581.27 (111.894),143.000,0.110 (0.014),0.896 (0.028)
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,1876.571 (232.001),504.000,0.104 (0.009),0.877 (0.024),1966.256 (240.587),552.000,0.101 (0.009),0.873 (0.024),1955.274 (240.511),575.000,0.098 (0.009),0.876 (0.024)
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,1953.462 (211.905),108.000,0.131 (0.008),0.885 (0.015),2136.314 (232.036),132.000,0.123 (0.007),0.875 (0.016),2046.559 (225.283),143.000,0.115 (0.007),0.881 (0.016)
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,6497.689 (473.902),504.000,0.109 (0.004),0.860 (0.014),6779.066 (494.406),552.000,0.106 (0.004),0.855 (0.015),6702.372 (492.941),575.000,0.103 (0.004),0.857 (0.014)
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,113.374 (14.116),108.000,0.012 (0.013),0.999 (0.002),137.261 (15.482),132.000,0.012 (0.012),0.999 (0.002),149.269 (17.585),143.000,0.012 (0.012),0.998 (0.002)
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,508.076 (19.986),504.000,0.006 (0.007),0.999 (0.001),555.996 (20.483),552.000,0.006 (0.006),0.999 (0.001),581.675 (21.89),575.000,0.007 (0.007),0.999 (0.001)
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,105.880 (12.977),108.000,0.004 (0.005),1.000 (0.000),130.513 (14.489),132.000,0.004 (0.005),1.000 (0.000),145.479 (18.052),143.000,0.005 (0.006),1.000 (0.001)
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,508.215 (24.363),504.000,0.003 (0.004),1.000 (0.000),557.502 (26.218),552.000,0.003 (0.004),1.000 (0.000),589.139 (30.412),575.000,0.004 (0.004),1.000 (0.000)
